Series Name,Year,Value
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2001,2.9707765747
"Renewable internal freshwater resources, total (billion cubic meters)",2001,327.0
Renewable internal freshwater resources per capita (cubic meters),2002,82816.2593389895
"Annual freshwater withdrawals, total (billion cubic meters)",2002,3.8977142857
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2002,61.654656808
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",2002,13.7726433836
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",2002,24.5726998084
"Annual freshwater withdrawals, total (% of internal resources)",2002,1.19196155525994
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2002,3.1766212598
"Renewable internal freshwater resources, total (billion cubic meters)",2002,327.0
Renewable internal freshwater resources per capita (cubic meters),2003,81197.8545887962
"Annual freshwater withdrawals, total (billion cubic meters)",2003,4.1502857143
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2003,60.2465355352
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",2003,15.5705625947
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",2003,24.1829018701
"Annual freshwater withdrawals, total (% of internal resources)",2003,1.26920052425076
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2003,3.3824659448
"Renewable internal freshwater resources, total (billion cubic meters)",2003,327.0
Renewable internal freshwater resources per capita (cubic meters),2004,80000.0
"Annual freshwater withdrawals, total (billion cubic meters)",2004,4.4028571429
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2004,59.1265240482
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",2004,17.0006170993
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",2004,23.8728588526
"Annual freshwater withdrawals, total (% of internal resources)",2004,1.34643949324159
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2004,3.5883106299
"Renewable internal freshwater resources, total (billion cubic meters)",2004,327.0
Renewable internal freshwater resources per capita (cubic meters),2005,79102.0585887419
"Annual freshwater withdrawals, total (billion cubic meters)",2005,4.6554285714
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2005,58.2144053743
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",2005,18.1652296352
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",2005,23.6203649904
"Annual freshwater withdrawals, total (% of internal resources)",2005,1.42367846220183
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2005,3.7941553149
"Renewable internal freshwater resources, total (billion cubic meters)",2005,327.0
Renewable internal freshwater resources per capita (cubic meters),2006,78143.6696458443
"Annual freshwater withdrawals, total (billion cubic meters)",2006,4.908
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2006,57.4572127139
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",2006,19.1320293399
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",2006,23.4107579462
"Annual freshwater withdrawals, total (% of internal resources)",2006,1.50091743119266
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2006,4.0
"Renewable internal freshwater resources, total (billion cubic meters)",2006,327.0
Renewable internal freshwater resources per capita (cubic meters),2007,77418.438373029
"Annual freshwater withdrawals, total (billion cubic meters)",2007,4.98125
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2007,58.5545796738
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",2007,20.0803011292
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",2007,21.365119197
"Annual freshwater withdrawals, total (% of internal resources)",2007,1.52331804281346
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2007,4.0596984515
"Renewable internal freshwater resources, total (billion cubic meters)",2007,327.0
Renewable internal freshwater resources per capita (cubic meters),2008,76764.1673317996
"Annual freshwater withdrawals, total (billion cubic meters)",2008,5.0545
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2008,59.6201404689
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",2008,21.0010881393
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",2008,19.3787713918
"Annual freshwater withdrawals, total (% of internal resources)",2008,1.54571865443425
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2008,4.119396903
"Renewable internal freshwater resources, total (billion cubic meters)",2008,327.0
Renewable internal freshwater resources per capita (cubic meters),2009,76000.5578022591
"Annual freshwater withdrawals, total (billion cubic meters)",2009,5.12775
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2009,60.6552581542
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",2009,21.8955682317
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",2009,17.4491736142
"Annual freshwater withdrawals, total (% of internal resources)",2009,1.56811926605505
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2009,4.1790953545
"Renewable internal freshwater resources, total (billion cubic meters)",2009,327.0
Renewable internal freshwater resources per capita (cubic meters),2010,75160.3190291218
"Annual freshwater withdrawals, total (billion cubic meters)",2010,5.201
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2010,61.6612189963
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",2010,22.7648529129
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",2010,15.5739280908
"Annual freshwater withdrawals, total (% of internal resources)",2010,1.59051987767584
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2010,4.238793806
"Renewable internal freshwater resources, total (billion cubic meters)",2010,327.0
Renewable internal freshwater resources per capita (cubic meters),2011,74589.4160583942
"Annual freshwater withdrawals, total (billion cubic meters)",2011,6.3695
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2011,62.3868404111
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",2011,23.0327468185
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",2011,14.5804127704
"Annual freshwater withdrawals, total (% of internal resources)",2011,1.94785932721713
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2011,5.1911165444
"Renewable internal freshwater resources, total (billion cubic meters)",2011,327.0
Renewable internal freshwater resources per capita (cubic meters),2012,74181.6201991788
"Annual freshwater withdrawals, total (billion cubic meters)",2012,7.538
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2012,63.1297432331
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",2012,23.3070208881
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",2012,13.5632358788
"Annual freshwater withdrawals, total (% of internal resources)",2012,2.30519877675841
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2012,6.1434392828
"Renewable internal freshwater resources, total (billion cubic meters)",2012,327.0
Renewable internal freshwater resources per capita (cubic meters),2013,73613.8312960086
"Annual freshwater withdrawals, total (billion cubic meters)",2013,8.7065
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2013,63.8905522637
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",2013,23.5879057937
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",2013,12.5215419426
"Annual freshwater withdrawals, total (% of internal resources)",2013,2.66253822629969
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2013,7.0957620212
"Renewable internal freshwater resources, total (billion cubic meters)",2013,327.0
Renewable internal freshwater resources per capita (cubic meters),2014,72401.1956160744
"Annual freshwater withdrawals, total (billion cubic meters)",2014,9.875
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2014,64.669922791
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",2014,23.8756434626
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",2014,11.4544337464
"Annual freshwater withdrawals, total (% of internal resources)",2014,3.01987767584098
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2014,8.0480847596
"Renewable internal freshwater resources, total (billion cubic meters)",2014,327.0
Renewable internal freshwater resources per capita (cubic meters),2015,70941.9881112509
"Annual freshwater withdrawals, total (billion cubic meters)",2015,9.875
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2015,65.4685424719
